"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API","0","Booking CRUD","1","0","Full booking lifecycle","0"
"0","API","0","Booking CRUD","1","0","Non-existent booking ID","0"
"0","Visual Regression","0","Cart","2","0","Cart with single item renders consistently","0"
"0","Visual Regression","0","Checkout","2","0","Order confirmation page renders consistently","0"
"0","Authentication","0","Login","2","0","Standard user can log in","0"
"0","Authentication","0","Login","2","0","Empty form is rejected","0"
"0","Shopping","0","Checkout","2","0","Single-item purchase flow","0"
"0","Shopping","0","Inventory","2","0","User can sort products by name","0"
"0","","0","","1","0","","0"
"0","Visual Regression","0","Login","2","0","Empty login form renders consistently","0"
"0","Performance / Test Architecture","0","Storage state authentication","1","0","Authenticated session is reused across tests","0"
"0","Shopping","0","Inventory","2","0","Catalog renders correctly","0"
"0","Visual Regression","0","Checkout","2","0","Checkout info form empty state renders consistently","0"
"0","Accessibility","0","WCAG 2 A/AA scan","1","0","Inventory page passes critical/serious axe rules (with allowlist)","0"
"0","Visual Regression","0","Inventory","2","0","Inventory grid renders consistently","0"
"0","Authentication","0","Login","2","0","Locked-out user is blocked","0"
"0","Shopping","0","Inventory","2","0","Cart badge reflects added products","0"
