"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1561","user buys one item and reaches order confirmation","ui-chromium","2026-05-01","passed","2026-05-01","End-to-end checkout","","",""
"","1577","user buys one item and reaches order confirmation","ui-mobile","2026-05-01","passed","2026-05-01","End-to-end checkout","","",""
"","838","locked-out user sees error message","ui-chromium","2026-05-01","passed","2026-05-01","Login","","",""
"","691","empty credentials show validation error","ui-mobile","2026-05-01","passed","2026-05-01","Login","","",""
"","1163","lists all 6 products by default","ui-mobile","2026-05-01","passed","2026-05-01","Inventory","","",""
"","978","valid user lands on the inventory page","ui-chromium","2026-05-01","passed","2026-05-01","Login","","",""
"","1089","adding two products updates the cart badge to 2","ui-mobile","2026-05-01","passed","2026-05-01","Inventory","","",""
"","1131","sorts product names A→Z and Z→A","ui-chromium","2026-05-01","passed","2026-05-01","Inventory","","",""
"","722","empty credentials show validation error","ui-chromium","2026-05-01","passed","2026-05-01","Login","","",""
"","843","locked-out user sees error message","ui-mobile","2026-05-01","passed","2026-05-01","Login","","",""
"","1091","authenticate as standard user","setup","2026-05-01","passed","2026-05-01","","","",""
"","1424","inventory page has no NEW critical/serious a11y violations","a11y","2026-05-01","passed","2026-05-01","Accessibility — saucedemo","","",""
"","606","user lands directly on inventory without logging in again","ui-authed","2026-05-01","passed","2026-05-01","Authenticated UI (storageState pattern)","","",""
"","720","create → read → update → delete a booking","api","2026-05-01","passed","2026-05-01","Booker API — CRUD","","",""
"","1203","sorts product names A→Z and Z→A","ui-mobile","2026-05-01","passed","2026-05-01","Inventory","","",""
"","377","GET non-existent booking returns 404 (negative case)","api","2026-05-01","passed","2026-05-01","Booker API — CRUD","","",""
"","1231","lists all 6 products by default","ui-chromium","2026-05-01","passed","2026-05-01","Inventory","","",""
"","759","valid user lands on the inventory page","ui-mobile","2026-05-01","passed","2026-05-01","Login","","",""
"","1034","adding two products updates the cart badge to 2","ui-chromium","2026-05-01","passed","2026-05-01","Inventory","","",""
